objectid,filename,title,creator,date,time,description,subject,location,materials,latitude,longitude,type,camera,filesize,format,rights
coll001,kitchen_before.jpg,Kitchen Before Demolition,"Anderzhon, Bevin",2023-10-27,12:51 P.M.,"The kitchen as it was before any remodel began. The image depicts dark cabinets, cream and blue wallpaper, an olive green backsplash, gray carpeted floors, and no appliances.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Kitchens",Kitchen,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,jpg,Bevin Anderzhon 2023
coll002,bathroom_before_north.jpg,Bathroom Before Demolition North,"Anderzhon, Bevin",2023-10-27,12:51 P.M.,"The bathroom as it was before any remodel began. The image depicts a toilet and white vanity, cement floor, floral wallpaper, and burgundy curtains. It is taken facing the north side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Bathrooms",Bathroom,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll003,bathroom_before_south.jpg,Bathroom Before Demolition South,"Anderzhon, Bevin",2023-10-27,12:52 P.M.,"The bathroom as it was before any remodel began. The image depicts a white vanity, cement floor, burgundy curtains, and floral wallpaper. It was taken facing the south side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Bathrooms",Bathroom,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll004,livingroom_before.jpg,Living Room Before Demolition,"Anderzhon, Bevin",2023-10-27,12:52 P.M.,"The living room as it was before any remodel began. The image depicts blue carpet, white walls, a faux crystal chandelier, and a floor-to-ceiling stone fireplace. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Living rooms",Living Room,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll005,library_before.jpg,Home Library Before Demolition,"Anderzhon, Bevin",2023-10-27,12:53 P.M.,"The home library as it was before any remodel began. The image depicts blue carpet, white walls, a blue carpeted window seat with white curtains, and a ceiling fan.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Home library",Library,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll006,foyer_before_south.jpg,Foyer Before Demolition South,"Anderzhon, Bevin",2023-10-27,12:53 P.M.,"The foyer as it was before any remodel began. The image depicts blue carpet, white walls, a closet, an open pocket door, and blue carpeted stairs with an iron railing. It was taken facing the south side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Entrance halls; Foyers",Foyer,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll007,foyer_before_west.jpg,Foyer Before Demolition West,"Anderzhon, Bevin",2023-10-27,12:54 P.M.,"The foyer as it was before any remodel began. the image depicts blue carpeted stairs, white walls, and stained glass windows with brown trim. It was taken facing the west side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Entrance halls; Foyers; Stained glass windows",Foyer,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll008,kitchen_floor_demolition.jpg,Kitchen Floor Demolition,"Anderzhon, Bevin",2023-11-01,8:20 P.M.,"The first phase of the kitchen demolition. The carpet has been removed, along with the first level of subflooring. The image depicts furrowing strips on top of old linolium floor, blue and cream wallpaper, and dark cabinets.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction: Renovation (Architecture); Kitchens; House construction",Kitchen,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll009,bathroom_demolition_north.jpg,Bathroom Demolition North,"Anderzhon, Bevin",2023-11-03,6:58 P.M.,"The first phase of the bathroom demolition. The wallpaper has been removed, revealing drywall that needs repairs. The image depicts unfinished walls, a toilet, and a white vanity. It is taken facing the north side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Bathrooms; House construction",Bathroom,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll010,bathroom_demolition_south.jpg,Bathroom Demolition South,"Anderzhon, Bevin",2023-11-03,6:58 P.M. ,"The first phase of the bathroom demolition. The wallpaper has been removed, revealing drywall that needs repairs. The image depicts unfinished walls, a white vanity, and a light fixture. It is taken facing the north side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Bathrooms; House construction",Bathroom,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2023
coll011,fireplace_demolition.mp4,Fireplace Demolition,"Anderzhon, Bevin",2024-01-01,4:30 P.M.,The beginning of demolition on the stone fireplace in the living room. The video depicts a man on a ladder using a chisel and hammer to separate stone from the wall behind it. ,"Architecture, Victorian--Iowa; Buldings--Repair and reconstruction; Renovation (Architecture); Living rooms; House construction; Gas fireplaces",Living Room,N/A,40°45'54.2,95°22'02.7,Video,Google Pixel 7,2.10 MP,MP4,Bevin Anderzhon 2024
coll012,fireplace_demolition_complete.jpg,Completed Fireplace Demolition,"Anderzhon, Bevin",2024-01-28,11:34 A.M.,"The completed demplition of the stone fireplace in the living room. The image depicts a stone fireplace with open, unfinished walls above it. ","Architecture, Victorian--Iowa; Buldings--Repair and reconstruction;Renovation (Architecture);  Living rooms; House construction; Gas fireplaces",Living Room,N/A,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll013,library_drywall.jpg,Home Library After Repairing Drywall,"Anderzhon, Bevin",2024-02-04,2:14 P.M.,"The home library after all demolition is complete and the drywall is repaired. The image depicts walls that have been sanded flat and re-mudded with joint compound, and bare subfloor. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Home library; House construction; Drywall",Library,SHEETROCK™ Premixed All-Purpose Joint Compound,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll014,foyer_drywall_north.jpg,Foyer After Repairing Drywall North,"Anderzhon, Bevin",2024-02-04,5:00 P.M. ,"The foyer after all demolition is complete and the drywall is repaired. The image depicts the front door of the house, walls that have been sanded flat and re-mudded with joint compound, and a bare subfloor. It is taken facing the north side of the house. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Entrance halls; Foyers; House construction; Drywall",Foyer,SHEETROCK™ Premixed All-Purpose Joint Compound,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll015,kitchen_wall_reconstruction.jpg,Kitchen Wall Rectonstruction,"Anderzhon, Bevin",2024-02-24,5:12 P.M.,"The kitchen without cabinets when the walls needed to be reconstructed after releveing the floor. The walls remain open to fix the electrical and plumbing systems. The image depicts open walls, several holes in the ceiling, and construction supplies in the middle of the room.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Kitchens; House construction; Framing (Building)",Kitchen,2 x 4 x 7' Construction/Framing Lumber; 3/4 x 4 x 8 Sturd-I-Floor Tongue & Groove OSB Subfloor,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll016,kitchen_wall_drywall.jpg,Kitchen Wall Drywall,"Anderzhon, Bevin",2024-03-02,2:22 P.M.,"The kitchen after the interior wall reconstruction was completed. The image depicts new drywall on the kitchen walls, a sample of the new flooring, several holes in the ceiling, two ladders, and a work lamp. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Kitchens; House construction; Drywall",Kitchen,1/2 x 4 x 8 Mold and Moisture Resistant Drywall,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll017,livingroom_drywall.jpg,Living Room After Repairing Drywall,"Anderzhon, Bevin",2024-03-10,3:22 P.M.,"The living room after all demolition is complete and the drywall is repaired. The image depicts walls that have been sanded flat and re-mudded with joint compound, the stone fireplace with a repaired wall above it, a bare subfloor, construction supplies, and new subfloor that has not been installed. ","Architecture, Victorian--Iowa; Buldings--Repair and reconstruction; Renovation (Architecture); Living rooms; House construction; Drywall",Living Room,3/4 x 4 x 8 Sturd-I-Floor Tongue & Groove OSB Subfloor; SHEETROCK™ Premixed All-Purpose Joint Compound; 5/8 x 4 x 10 Type X Fire-Rated Drywall,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll018,livingroom_paint.jpg,Living Room Paintng,"Anderzhon, Bevin",2024-03-10,6:14 P.M.,One living room wall after getting a coat of the final paint color. The image depicts the west living room wall with the final green paint color.,"Architecture, Victorian--Iowa; Buldings--Repair and reconstruction; Renovation (Architecture); Living rooms; House construction; House painting",Living Room,Sherwin-Williams SW 6178 Clary Sage Emerald Interior Acrylic Laytex Paint,40°45'54.2,95°22'02.7,Image,Google Pixel 7,4.10 MP,JPG,Bevin Anderzhon 2024
coll019,kitchen_paint.jpg,Kitchen Painted,"Anderzhon, Bevin",2024-04-28,5:33 P.M.,"The kitchen without cabinets and with the new paint color completed. The image depicts bare walls, partially painted where cabinets or backsplash will not cover. There is also a ladder, and a fridge. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Kitchens; House construction; House painting",Kitchen,Benjamin Moore Alaskan Skies 972 Advance® Interior Paint,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll020,bathroom_paint_coat1.jpg,Bathroom First Coat of Paint,"Anderzhon, Bevin",2024-05-24,8:21 P.M.,The bathroom with the first coat of green paint and white primer. The image depicts walls with one coat of green paint on the upper half and white primer on the lower half. It is taken facing the south side of the house.,"Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Bathrooms; House construction; House painting",Bathroom,Sherwin-Williams Drywall Primer; Sherwin-Williams SW 0041 Dard Hunter Green Emerald Interior Acrylic Laytex Paint,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll021,kitchen_cabinet.jpg,Kitchen Cabinets Installed,"Anderzhon, Bevin",2024-05-27,8:44 P.M.,"The kitchen after the cabinets and backsplash have been installed. The image depicts white kitchen cabinets, a patterned ceramic backsplash, an oven, microwave, and fridge. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Kitchens; House construction; Kitchen cabinets; Ceramic tiles",Kitchen,Habitat for Humanity Restore Cabinetry in White; Salvaged Ceramic Tile,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll022,livingroom_paint_finished.jpg,Living Room Painting Finished,"Anderzhon, Bevin",2024-06-12,9:02 A.M.,"The living room after the walls have been painted. The image depicts green walls, bare subfloor, small area rugs, and new subfloor that has not been installed. ","Architecture, Victorian--Iowa; Buldings--Repair and reconstruction; Renovation (Architecture); Living rooms; House construction; House painting",Living Room,Sherwin-Williams SW 6178 Clary Sage Emerald Interior Acrylic Laytex Paint; 3/4 x 4 x 8 Sturd-I-Floor Tongue & Groove OSB Subfloor,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll023,foyer_primed_west.jpg,Foyer Primed West,"Anderzhon, Bevin",2024-06-13,12:13 P.M.,"The foyer after all the walls have been primed. The image depicts white primed walls, bare steps, small area rugs, and a stained glass window with painter's tape on it in preparation for painting the trim. It is taken facing the west side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Entrance halls; Foyers; House construction; House painting",Foyer,Serwin-Williams Drywall Primer,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll024,fireplace_painting.jpg,Fireplace Painted,"Anderzhon, Bevin",2024-06-28,6:15 P.M.,"The fireplace while being primed and painted a new color. The image depicts green walls, and the stone fireplace with white primer and dark green paint. ","Architecture, Victorian--Iowa; Buldings--Repair and reconstruction;Renovation (Architecture);  Living rooms; House construction; Gas fireplaces; House painting",Living Room,Sherwin-Williams All-Purpose Primer; Farrow & Ball No.93 Studio Green Dead Flat Acrylic Laytex Paint,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2025
coll025,bathroom_paint_stencil1.jpg,Bathroom Paint Stencil,"Anderzhon, Bevin",2024-06-30,2:03 P.M.,The bathroom after the stencil has been started on the green paint. The image depicts green paint with a woodland-style stenciled pattern and a ladder. It is taken facing the north side of the house.,"Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Bathrooms; House construction; House painting",Bathroom,Sherwin-Williams SW 0041 Dard Hunter Green Emerald Interior Acrylic Laytex Paint (Flat and High Gloss Finish),40°45'54.2,95°22'02.7,Image,Google Pixel 7,2.10 MP,JPG,Bevin Anderzhon 2024
coll026,kitchen_island.jpg,Kitchen Island,"Anderzhon, Bevin",2024-08-22,9:05 P.M.,"The kitchen after the island and light fixture has been installed. The image depicts kitchen counters, a kitchen island, a fridge, a stove, a microwave, a dishwasher, and a schoolhouse-style light. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Kitchens; House construction; Kitchen cabinets",Kitchen,Wilsonart Standard Laminate Mangalore Mango Laminate Counter; Hunter Saddle Creek 1 Light Brushed Nickel Pendant with Frosted Glass Shade Kitchen Light,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2024
coll027,bathroom_wainscotting.jpg,Bathroom Wainscotting,"Anderzhon, Bevin",2024-10-06,6:53 P.M.,"The bathroom after the wainscotting and light fixtures have been installed. The image depicts green upper walls with a stenciled pattern, white wainscotting on the bottom half of the wall, and antique light fixtures. It was taken facing the north side of the house.","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Bathrooms; House construction; House painting; Antiques--Conservation and restoration",Bathroom,Mastercraft® 1 x 4 x 4' Aspen Board; Mastercraft® 1 x 2 x 4' Aspen Board; Benjamin Moore Capital White Window Tirm Enamel Paint; Restored Brass and Milk-Glass Lights,40°45'54.2,95°22'02.7,Image,Google Pixel 7,4.10 MP,JPG,Bevin Anderzhon 2024
coll028,livingroom_floor_demolition.mp4,Living Room Floor Demolition,"Anderzhon, Bevin",2024-11-09,3:20 P.M.,The lifing room as the old subfloor is being removed to level the floor from the joists. The video depicts three men removing the old subfloor with hammers and crowbars. The basement of the house is in clear view through the parts of the floor that have already been removed. ,"Architecture, Victorian--Iowa; Buldings--Repair and reconstruction; Renovation (Architecture); Living rooms; House construction; Flooring",Living Room,N/A,40°45'54.2,95°22'02.7,Video,Google Pixel 7,2.10 MP,MP4,Bevin Anderzhon 2024
coll029,foyer_window_paint.jpg,Foyer Window Trim Painted,"Anderzhon, Bevin",2024-11-30,1:26 P.M.,"The stained glass window in the foyer with new trim paint. The image depicts a stained glass window with new, white painted trim. It is taken facing the west side of the house. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Entrance halls; Foyers; Stained glass windows; House painting",Foyer,Benjamin Moore Capital White Window Tirm Enamel Paint,40°45'54.2,95°22'02.7,Image,Google Pixel 7,4.10 MP,JPG,Bevin Anderzhon 2024
coll030,library_painted.jpg,Home Library Painted,"Anderzhon, Bevin",2024-12-22,1:34 P.M.,"The home library after the walls and window trim has been painted. The image depicts pink walls, white window trim, a ceiling fan, new subflooring, a small ladder, a dog bed, and a dog. ","Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Home library; House construction; House painting",Library,Benjamin Moore Capital White Window Tirm Enamel Paint; Sherwin-Williams SW 6024 Dressy Rose Emerald Interior Acrylic Laytex Paint; 3/4 x 4 x 8 Sturd-I-Floor Tongue & Groove OSB Subfloor,40°45'54.2,95°22'02.7,Image,Google Pixel 7,4.10 MP,JPG,Bevin Anderzhon 2024
coll031,kitchen_pantry_frame.jpg,Kitchen Pantry Frame,"Anderzhon, Bevin",2025-02-24,8:17 P.M.,The frame of the patry in the kitchen. The image depicts a wooden frame attached to a painted wall. It is taken facing the east side of the house. ,"Architecture, Victorian--Iowa; Buildings--Repair and reconstruction; Renovation (Architecture); Kitchens; House construction; Kitchen cabinets; Food--Storage",Kitchen,Mastercraft® 1 x 4 x 4' Aspen Board; Mastercraft® 1 x 2 x 4' Aspen Board; Mastercraft® 1 x 6 x 6' Aspen Board; Columbia Forest Products 1/2 in. x 4 ft. x 8 ft. PureBond Birch Plywood,40°45'54.2,95°22'02.7,Image,Google Pixel 7,12.50 MP,JPG,Bevin Anderzhon 2025
